title,total_sales,critic_score,popularity
Asteroids Hyper 64,0.16,5.6,Menos popular
Astonishia Story,0.03,4.8,Menos popular
Astro Bot Rescue Mission,0.71,8.5,Muy popular
Astro Boy: Omega Factor,0.09,8.8,Menos popular
Astro Boy: The Video Game,0.36,5.425,Menos popular
Atari Anniversary Advance,0.18,7.7,Moderadamente popular
Atelier Iris 2: The Azoth Of Destiny,0.06,6.8,Menos popular
Atelier Iris 3: Grand Phantasm (US Sales),0.29,6.1,Menos popular
Atelier Iris: Eternal Mana,0.15,7.2,Menos popular
Atelier Rorona: Alchemist of Arland,0.48,6.4,Menos popular
Atelier Totori: The Adventurer of Arland,0.43,7.8,Moderadamente popular
Atomic Betty,0.03,6.0,Menos popular
Attack on Titan 2,0.54,7.266666666666667,Moderadamente popular
Auto Modellista,0.03,5.9,Menos popular
Avalon Code,0.24,7.1,Moderadamente popular
Avatar: The Last Airbender,0.61,5.75,Menos popular
Axiom Verge,0.17,7.5,Moderadamente popular
Azure Dreams,0.13,7.4,Menos popular
BIT.TRIP COMPLETE,0.09,8.1,Menos popular
BIT.TRIP SAGA,0.14,7.5,Menos popular
BUZZ! Quiz World,0.92,7.8,Muy popular
Babysitting Mama,0.49,3.8,Menos popular
Back to the Future: The Game,0.05,7.55,Menos popular
BackTrack,0.0,5.2,Menos popular
Backbreaker,0.18,5.2,Menos popular
Backstreet Billiards,0.34,7.2,Moderadamente popular
Backyard Basketball,0.18,6.0,Menos popular
Backyard Hockey,0.2,6.0,Menos popular
Backyard NFL Football 2006,0.03,5.5,Menos popular
Backyard Wrestling: Don't Try This at Home,0.77,6.0,Menos popular
Bad Boys: Miami Takedown,0.05,4.3,Menos popular
Baja: Edge of Control,0.41000000000000003,5.0,Menos popular
Bakugan: Battle Brawlers,1.38,6.4,Menos popular
Baldur's Gate: Dark Alliance,0.17,7.85,Moderadamente popular
Baldur's Gate: Dark Alliance II,0.68,7.8,Muy popular
Ballistic,0.04,7.9,Menos popular
Ballistic: Ecks vs. Sever,0.1,7.3,Menos popular
Band Hero,3.38,6.9799999999999995,Moderadamente popular
Bangai-O Spirits,0.08,8.4,Menos popular
Banjo-Kazooie,0.01,7.0,Menos popular
Banjo-Kazooie: Grunty's Revenge,0.33,6.6,Moderadamente popular
