title,total_sales,critic_score,popularity
Are You Smarter than a 5th Grader? Game Time,-0.3769746274319652,-2.072941722817259,Menos popular
Area 51,-0.2443012094999339,0.47549456595847395,Moderadamente popular
Armored Core,-0.2603828359159377,0.13111128369148303,Moderadamente popular
Armored Core 4,-0.2443012094999339,-0.31658698325560547,Menos popular
Armored Core SL: Silent Line Portable,-0.41315828686797373,-0.8331619066560919,Menos popular
Armored Core: For Answer,-0.2885256821439443,-0.4887786243891009,Menos popular
Armored Core: Formula Front Extreme Battle,-0.4051174736599718,-0.2132719985755079,Menos popular
Armored Core: Last Raven Portable,-0.41315828686797373,-1.3841751582832773,Menos popular
Armored Core: Master of Arena,-0.3206889349759519,0.13111128369148303,Moderadamente popular
Armored Core: Project Phantasma,-0.31264812176795,0.13111128369148303,Moderadamente popular
Armorines: Project S.W.A.R.M.,-0.2885256821439443,-1.5908051276434716,Menos popular
Army Men Advance,-0.42521950667997654,-0.6265319372958974,Menos popular
Army Men: Air Combat,-0.3287297481839538,0.4066179095050754,Moderadamente popular
Army Men: Air Combat - The Elite Missions,-0.4211991000759756,-2.2106950357240556,Menos popular
Army Men: Operation Green,-0.42521950667997654,-0.5576552808424988,Menos popular
Army Men: RTS,-0.3528521878079595,-0.3510253114823044,Menos popular
Army Men: Sarge's Heroes,-0.09956657175589971,-1.9351884099104626,Menos popular
Army Men: Sarge's Heroes 2,-0.25636242931193676,-0.6954085937492953,Menos popular
Army of Two,0.7045147490442898,0.027796299011386114,Moderadamente popular
Army of Two: The 40th Day,0.4431883197842284,-0.4658197389046349,Menos popular
Around the World in 80 Days,-0.4051174736599718,-2.41732500508425,Menos popular
Ashes Cricket 2009,-0.35687259441196045,-0.14439534212210997,Moderadamente popular
Asphalt 3D,-0.2282195830839301,-2.072941722817259,Menos popular
Asphalt: Urban GT,-0.1880155170439206,-1.3841751582832773,Menos popular
Assassin's Creed,4.113819549237094,0.6821245353186685,Muy popular
Assassin's Creed II,4.162064428485106,1.2790555579147864,Muy popular
Assassin's Creed II: Discovery,-0.31264812176795,0.19998794014488097,Moderadamente popular
Assassin's Creed III,2.690595611420759,0.9346722756477954,Muy popular
Assassin's Creed IV: Black Flag,5.0867579474053235,1.0035489321011934,Muy popular
Assassin's Creed Odyssey,0.8532697933923251,1.7152743821196412,Muy popular
Assassin's Creed Rogue Remastered,-0.40913788026397274,-0.6954085937492953,Menos popular
Assassin's Creed Syndicate,1.022126870760365,1.0953844740390573,Muy popular
Assassin's Creed: Altair's Chronicles,-0.4051174736599718,-0.9020385631094898,Menos popular
Assassin's Creed: Bloodlines,0.08135172542414296,-0.4887786243891009,Menos popular
Assassin's Creed: Brotherhood,2.3770038963086844,1.3479322143681842,Muy popular
Assassin's Creed: Revelations,2.9720240737008248,0.9231928329055631,Muy popular
Assetto Corsa,-0.41717869347197467,-0.6954085937492953,Menos popular
Asterix and Obelix XXL2,-0.40109706705597087,-0.3510253114823044,Menos popular
Asteroids Hyper 64,-0.3608930010159614,-0.9709152195628884,Menos popular
Astonishia Story,-0.41315828686797373,-1.5219284711900738,Menos popular
Astro Bot Rescue Mission,-0.13977063779590923,1.0265078175856595,Muy popular
Astro Boy: Omega Factor,-0.38903584724396806,1.2331377869458544,Menos popular
Astro Boy: The Video Game,-0.28048486893594243,-1.091449368356335,Menos popular
Atari Anniversary Advance,-0.3528521878079595,0.47549456595847395,Moderadamente popular
Atelier Iris 2: The Azoth Of Destiny,-0.40109706705597087,-0.14439534212210997,Menos popular
Atelier Iris 3: Grand Phantasm (US Sales),-0.30862771516394905,-0.6265319372958974,Menos popular
Atelier Iris: Eternal Mana,-0.3649134076199623,0.13111128369148303,Menos popular
Atelier Rorona: Alchemist of Arland,-0.23223998968793105,-0.41990196793570234,Menos popular
Atelier Totori: The Adventurer of Arland,-0.2523420227079358,0.544371222411872,Moderadamente popular
Atomic Betty,-0.41315828686797373,-0.6954085937492953,Menos popular
Attack on Titan 2,-0.20811755006392532,0.177029054660415,Moderadamente popular
Auto Modellista,-0.41315828686797373,-0.7642852502026933,Menos popular
Avalon Code,-0.3287297481839538,0.06223462723808447,Moderadamente popular
Avatar: The Last Airbender,-0.1799747038359187,-0.8676002348827908,Menos popular
Axiom Verge,-0.35687259441196045,0.33774125305167746,Moderadamente popular
Azure Dreams,-0.37295422082796426,0.26886459659827955,Menos popular
BIT.TRIP COMPLETE,-0.38903584724396806,0.7510011917720664,Menos popular
BIT.TRIP SAGA,-0.36893381422396326,0.33774125305167746,Menos popular
BUZZ! Quiz World,-0.05534209911188928,0.544371222411872,Muy popular
Babysitting Mama,-0.2282195830839301,-2.2106950357240556,Menos popular
Back to the Future: The Game,-0.4051174736599718,0.37217958127837647,Menos popular
BackTrack,-0.42521950667997654,-1.2464218453764808,Menos popular
Backbreaker,-0.3528521878079595,-1.2464218453764808,Menos popular
Backstreet Billiards,-0.2885256821439443,0.13111128369148303,Moderadamente popular
Backyard Basketball,-0.3528521878079595,-0.6954085937492953,Menos popular
Backyard Hockey,-0.34481137459995764,-0.6954085937492953,Menos popular
Backyard NFL Football 2006,-0.41315828686797373,-1.0397918760162863,Menos popular
Backyard Wrestling: Don't Try This at Home,-0.11564819817190351,-0.6954085937492953,Menos popular
Bad Boys: Miami Takedown,-0.4051174736599718,-1.8663117534570648,Menos popular
Baja: Edge of Control,-0.26038283591593764,-1.3841751582832773,Menos popular
Bakugan: Battle Brawlers,0.1295966046721543,-0.41990196793570234,Menos popular
Baldur's Gate: Dark Alliance,-0.35687259441196045,0.5788095506385709,Moderadamente popular
Baldur's Gate: Dark Alliance II,-0.15183185760791204,0.544371222411872,Muy popular
Ballistic,-0.40913788026397274,0.6132478788652704,Menos popular
Ballistic: Ecks vs. Sever,-0.3850154406399671,0.19998794014488097,Menos popular
Band Hero,0.9336779254723441,-0.020417360505993427,Moderadamente popular
Bangai-O Spirits,-0.393056253847969,0.9576311611322614,Menos popular
Banjo-Kazooie,-0.4211991000759756,-0.006642029215313471,Menos popular
Banjo-Kazooie: Grunty's Revenge,-0.29254608874794524,-0.28214865502890646,Moderadamente popular
Banjo-Kazooie: Nuts & Bolts,-0.11966860477590448,0.6821245353186685,Muy popular
Banjo-Pilot,-0.3850154406399671,-0.5576552808424988,Menos popular
Barbie Groovy Games,-0.20007673685592342,-2.761708287351241,Menos popular
Barbie as The Island Princess,-0.3327501547879548,-1.0397918760162863,Menos popular
Barbie as the Princess and the Pauper,-0.41717869347197467,-0.6954085937492953,Menos popular
Barnyard,-0.4051174736599718,-0.9709152195628884,Menos popular
Baroque,-0.393056253847969,-1.2464218453764808,Menos popular
Baseball Advance,-0.37295422082796426,0.8887545046788635,Menos popular
Bass Hunter 64,-0.3005869019559471,-0.6954085937492953,Menos popular
Baten Kaitos Origins,-0.3850154406399671,0.33774125305167746,Menos popular
Baten Kaitos: Eternal Wings and the Lost Ocean,-0.316668528371951,0.8198778482254643,Moderadamente popular
Batman & Robin,-0.38099503403596613,-1.1086685324696843,Menos popular
Batman Begins,-0.35687259441196045,-0.4887786243891009,Menos popular
Batman Beyond: Return of the Joker,-0.38903584724396806,-3.450474851885223,Menos popular
Batman Forever: The Arcade Game,-0.41315828686797373,-1.2464218453764808,Menos popular
Batman: Arkham Asylum,2.7187384576487656,1.4053294280793498,Muy popular
Batman: Arkham City,3.7117788888369994,1.7497127103463408,Muy popular
Batman: Arkham City Armored Edition,-0.2764644623319415,1.0953844740390573,Moderadamente popular
Batman: Arkham Knight,1.2271676075644133,0.7510011917720664,Muy popular
Batman: Arkham Origins Blackgate,-0.316668528371951,-0.006642029215313471,Moderadamente popular
Batman: Dark Tomorrow,-0.393056253847969,-3.2438448825250283,Menos popular
Batman: Rise of Sin Tzu,-0.39707666045196993,-1.0397918760162863,Menos popular
Batman: The Brave and the Bold the Videogame,-0.19203592364792152,0.33774125305167746,Moderadamente popular
Batman: Vengeance,-0.02719925288388266,-0.16735422760657595,Moderadamente popular
Battalion Wars 2,-0.2885256821439443,0.47549456595847395,Moderadamente popular
Battle B-Daman,-0.4211991000759756,-0.6954085937492953,Menos popular
Battle Chasers: Nightwar,-0.4051174736599718,1.0265078175856595,Menos popular
Battle Fantasia,-0.3850154406399671,-0.006642029215313471,Menos popular
BattleBots: Beyond the BattleBox,-0.40109706705597087,-0.8331619066560919,Menos popular
Battlebots: Design & Destroy,-0.24832161610393486,-2.072941722817259,Menos popular
Battlefield 1,4.865635584185272,1.4856855272749803,Muy popular
Battlefield 2: Modern Combat,0.14165782448415723,0.4295767949895414,Moderadamente popular
Battlefield 3,6.538124731449667,1.1183433595235233,Muy popular
Battlefield 4,4.0454726369690786,1.0724255885545912,Muy popular
Battlefield: Bad Company,0.700494342440289,1.0953844740390573,Muy popular
Battlefield: Bad Company 2,2.4533916217847027,1.3020144433992524,Muy popular
Battles of Prince of Persia,-0.3769746274319652,-0.9709152195628884,Menos popular
Battlestations: Midway,-0.4211991000759756,0.47549456595847395,Menos popular
Battlezone: Rise of the Black Dogs,-0.39707666045196993,0.19998794014488097,Menos popular
Bayonetta,0.4351475065762265,1.1986994587191548,Muy popular
Beach Spikers: Virtua Beach Volleyball,-0.3850154406399671,0.06223462723808447,Menos popular
Beaterator,-0.38099503403596613,0.6132478788652704,Menos popular
Beautiful Katamari,-0.2965664953519462,0.19998794014488097,Moderadamente popular
Bee Movie Game,-0.17595429723191774,-0.41990196793570234,Menos popular
Beetle Adventure Racing!,-0.17595429723191774,1.5086444127594463,Muy popular
Ben 10: Alien Force,-0.18399511043991967,-1.2464218453764808,Menos popular
Beowulf: The Game,-0.26440324251993863,-1.453051814736675,Menos popular
BeyBlade VForce: Super Tournament Battle,-0.34079096799595665,-3.106091569618232,Menos popular
Beyblade G-Revolution,-0.34481137459995764,-3.17496822607163,Menos popular
Beyond Good & Evil,-0.29254608874794524,0.8887545046788635,Moderadamente popular
Beyond The Beyond,-0.1960563302519225,-1.5219284711900738,Menos popular
Big Bang Mini,-0.40109706705597087,0.6821245353186685,Menos popular
Big Bumpin',-0.42521950667997654,-0.2132719985755079,Menos popular
Big Mutha Truckers,-0.40913788026397274,-1.3841751582832773,Menos popular
Billy Hatcher and the Giant Egg,-0.32470934157995285,0.19998794014488097,Moderadamente popular
Bio FREAKS,-0.36893381422396326,-0.5576552808424988,Menos popular
BioShock,1.2914941132284283,1.6808360538929417,Muy popular
BioShock 2,1.0824329698203792,1.060946145812359,Muy popular
BioShock Infinite,0.3064944952481961,1.7152743821196412,Muy popular
Bionicle,-0.34079096799595665,-1.5219284711900738,Menos popular
Bionicle Heroes,-0.31264812176795,-0.7780605814933732,Menos popular
Black,0.077331318820142,0.47549456595847395,Moderadamente popular
Black Sigil: Blade of the Exiled,-0.4051174736599718,-0.6954085937492953,Menos popular
Blacksite: Area 51,-0.1960563302519225,-0.4887786243891009,Menos popular
Blackthorne,-0.4211991000759756,0.06223462723808447,Menos popular
Blade Strangers,-0.40913788026397274,0.8887545046788635,Menos popular
Bladestorm: The Hundred Years' War,-0.2764644623319415,-0.45434029616240196,Menos popular
Blast Corps,-0.13977063779590923,1.4397677563060483,Muy popular
Blast Radius,-0.39707666045196993,-0.28214865502890646,Menos popular
"Blast Works: Build, Trade, Destroy",-0.3850154406399671,0.8198778482254643,Menos popular
Blaster Master: Blasting Again,-0.32470934157995285,0.47549456595847395,Moderadamente popular
Blasto,-0.28450527553994337,-1.6596817840968703,Menos popular
BlazBlue: Calamity Trigger,-0.05132169250788837,1.0265078175856595,Muy popular
BlazBlue: Calamity Trigger Portable,-0.38099503403596613,0.6132478788652704,Menos popular
BlazBlue: Continuum Shift,-0.13172982458790733,1.1298228022657557,Muy popular
BlazBlue: Continuum Shift II,-0.3287297481839538,-0.17883367034880895,Moderadamente popular
BlazBlue: Cross Tag Battle,-0.39707666045196993,0.6821245353186685,Menos popular
Blazing Angels 2: Secret Missions of WWII,-0.30862771516394905,0.26886459659827955,Moderadamente popular
Blazing Angels: Squadrons of WWII,0.39494344053621694,-0.44745263051706163,Menos popular
Blazing Dragons,-0.3649134076199623,-0.28214865502890646,Menos popular
Bleach: Shattered Blade,-0.2965664953519462,-1.1775451889230828,Menos popular
Bleach: Soul Resurreccion,-0.2201787698759282,-0.2132719985755079,Moderadamente popular
Bleach: The Blade of Fate,-0.2443012094999339,0.8198778482254643,Moderadamente popular
Blender Bros.,-0.41717869347197467,0.26886459659827955,Menos popular
Blinx 2: Masters of Time & Space,-0.3649134076199623,-0.14439534212210997,Menos popular
Blinx: The Time Sweeper,-0.20007673685592342,-0.14439534212210997,Moderadamente popular
Blitz: The League,0.21000473675217335,0.26886459659827894,Moderadamente popular
Blitz: The League II,-0.32470934157995285,-0.385463639709004,Menos popular
Blood Bowl,-0.3287297481839538,-0.718367479233762,Menos popular
Blood Omen: Legacy of Kain,-0.24832161610393486,0.544371222411872,Moderadamente popular
BloodRayne,-0.2965664953519462,0.4066179095050754,Moderadamente popular
Bloody Roar,-0.26842364912393957,1.0953844740390573,Moderadamente popular
Bloody Roar II,-0.24028080289593295,0.8198778482254643,Moderadamente popular
Bloody Roar: Primal Fury,-0.3528521878079595,0.6132478788652704,Moderadamente popular
BlowOut,-0.4211991000759756,-0.3510253114823044,Menos popular
Blue Dragon,-0.05534209911188928,0.47549456595847395,Moderadamente popular
Blue Dragon Plus,-0.34079096799595665,-0.3510253114823044,Menos popular
Blue Dragon: Awakened Shadow,-0.3850154406399671,-0.9020385631094898,Menos popular
Blue Stinger,-0.3850154406399671,-0.2132719985755079,Menos popular
Blues Brothers 2000,-0.4051174736599718,-1.453051814736675,Menos popular
Blur,0.12557619806815334,0.8428367337099315,Muy popular
Body and Brain Connection,-0.34481137459995764,-0.6954085937492953,Menos popular
Bodycount,-0.3367705613919557,-1.4874901429633747,Menos popular
Boktai 2: Solar Boy Django,-0.40913788026397274,0.6132478788652704,Menos popular
Boktai: The Sun is in Your Hand,-0.3649134076199623,0.544371222411872,Menos popular
Bomberman,-0.3649134076199623,0.19998794014488097,Menos popular
Bomberman 64,-0.007097219863877899,-0.6265319372958974,Menos popular
Bomberman Fantasy Race,-0.41717869347197467,-0.4887786243891009,Menos popular
Bomberman Generation,-0.32470934157995285,0.9576311611322614,Moderadamente popular
Bomberman Jetters,-0.393056253847969,0.13111128369148303,Menos popular
Bomberman Land,-0.3327501547879548,-0.5232169526157999,Menos popular
Bomberman Max 2: Blue Advance,-0.38903584724396806,0.19998794014488097,Menos popular
Bomberman Max 2: Red Advance,-0.39707666045196993,0.33774125305167746,Menos popular
Bomberman Party Edition,-0.3769746274319652,0.6132478788652704,Menos popular
Bomberman Tournament,-0.32470934157995285,1.2331377869458544,Moderadamente popular
Bomberman World,-0.29254608874794524,-0.3510253114823044,Menos popular
Bomberman: Act Zero,-0.40913788026397274,-2.41732500508425,Menos popular
Book of Spells,-0.15987267081591394,-0.3510253114823044,Menos popular
Bookworm,-0.41315828686797373,-0.6954085937492953,Menos popular
Boom Blox Bash Party,-0.24028080289593295,1.2331377869458544,Moderadamente popular
BoomBots,-0.38099503403596613,-1.728558440550268,Menos popular
Borderlands,1.8945551038285708,0.8657956191943975,Muy popular
Bottom of the 9th,-0.36893381422396326,0.6821245353186685,Menos popular
Bottom of the 9th '97,-0.41717869347197467,-0.6954085937492953,Menos popular
Bottom of the 9th '99,-0.4051174736599718,-1.3841751582832773,Menos popular
Boulder Dash EX,-0.42521950667997654,0.47549456595847395,Menos popular
Boxing,-0.39707666045196993,-0.7642852502026933,Menos popular
Boxing Fever,-0.393056253847969,0.13111128369148303,Menos popular
Brain Age: Concentration Training,-0.28048486893594243,0.33774125305167746,Moderadamente popular
Brave Fencer Musashi,0.033106846176131535,0.9576311611322614,Muy popular
Brave Story: New Traveler (US sales),-0.38099503403596613,0.33774125305167746,Menos popular
Brave: A Warrior's Tale,-0.3769746274319652,-1.6941201123235685,Menos popular
Bravo Air Race,-0.36893381422396326,-1.1775451889230828,Menos popular
Breach,-0.4211991000759756,-0.3510253114823044,Menos popular
Breakout,-0.38099503403596613,-1.453051814736675,Menos popular
Breath of Fire,-0.3367705613919557,0.544371222411872,Moderadamente popular
Breath of Fire II,-0.20409714345992439,0.9920694893589598,Moderadamente popular
Breath of Fire III,-0.007097219863877899,-0.14439534212210997,Moderadamente popular
Breath of Fire IV,-0.20007673685592342,0.9576311611322614,Moderadamente popular
